algo,thresholds,fe,time,opt_iters,K,psnr,ssim,dice
mfwoa_K2,"15,54",2.9184759687795183,10.8786,75,2,15.158242800885386,0.3625282917501925,0.4055729618025465
woa_K2,"15,54",2.9184759687795183,9.7418,75,2,15.158242800885386,0.3625282917501925,0.4055729618025465
mfwoa_K3,"31,76,214",3.575327703295781,9.488,75,3,20.028865282483608,0.5659337841123905,0.41540352314625156
woa_K3,"31,76,214",3.575327703295781,10.6994,75,3,20.028865282483608,0.5659337841123905,0.41540352314625156
mfwoa_K4,"31,138,179,216",4.247189900508975,11.34,75,4,21.269709895223503,0.5603357419222508,0.41540352314625156
woa_K4,"29,140,181,238",4.248504584591808,11.5712,75,4,21.016245748100584,0.5394510154854065,0.4143496841639283
mfwoa_K5,"31,138,165,197,236",4.925682149522438,12.0477,75,5,21.369613594518412,0.5630978069432464,0.41540352314625156
woa_K5,"31,138,165,197,236",4.925682149522438,12.0304,75,5,21.369613594518412,0.5630978069432464,0.41540352314625156
mfwoa_K6,"15,48,121,150,183,216",5.589319667818984,7.6378,50,6,24.113317106909378,0.7510593993299893,0.4055729618025465
woa_K6,"15,54,111,146,183,216",5.583821175729482,8.4601,50,6,25.859888302744324,0.8173835032539203,0.4055729618025465
mfwoa_K7,"15,46,129,150,173,201,236",6.268413448661733,7.831,50,7,23.1696683304314,0.6842512481899088,0.4055729618025465
woa_K7,"17,49,84,135,166,199,236",6.2985300588988045,8.4719,50,7,26.9820865268863,0.8047048507605784,0.40702458605117914
mfwoa_K8,"11,34,67,86,127,152,195,236",6.9662456650022655,5.0742,30,8,28.40405887923517,0.8641776894427783,0.4029272492466638
woa_K8,"15,40,77,98,133,166,199,236",6.973038040827104,5.3672,30,8,29.302315203343735,0.8849243245710029,0.4055729618025465
mfwoa_K9,"9,36,57,88,129,152,179,198,219",7.67863387119154,5.2825,30,9,28.519877620410014,0.8643930915142994,0.40164380848640885
woa_K9,"17,48,75,98,129,146,165,199,234",7.676860035318483,5.8511,30,9,30.29055743198375,0.9061898923082932,0.40702458605117914
mfwoa_K10,"13,36,59,84,131,164,187,206,223,236",8.349979299343815,5.2871,30,10,28.10694802111232,0.8456574131671422,0.40431293715007227
woa_K10,"15,46,77,98,131,156,181,194,215,236",8.376615843065014,5.7637,30,10,30.28895568386701,0.9021454255309729,0.4055729618025465
