algo,thresholds,fe,time,psnr,ssim,dice
otsu_K2,"78,135",2.5250864361043566,0.0262,24.169935857108374,0.6767262029271216,0.5211447172114472
mfwoa_K2,"153,206",3.0155290371743035,3.2967,17.715478095313816,0.5421871578076466,0.679481745386228
woa_K2,"153,206",3.0155290371743035,2.3697,17.715478095313816,0.5421871578076466,0.679481745386228
otsu_K3,"63,102,146",3.4313826402772767,0.0932,26.815966490242687,0.7343856101980892,0.468341675875967
mfwoa_K3,"151,182,221",3.714813649002108,2.4063,17.848192937336805,0.5518779895679097,0.6982710918884736
woa_K3,"151,202,226",3.7144669245070085,2.9099,17.79887295705025,0.5451540358878686,0.6982710918884736
otsu_K4,"57,90,120,155",4.241822571639933,3.0981,28.860102528735826,0.7731784676389931,0.45430074684217786
mfwoa_K4,"21,92,159,200",4.447329537516615,3.1348,23.233361239556324,0.6552852568291105,0.36054723909494113
woa_K4,"51,128,181,214",4.4539601642828766,2.4438,23.313649670657814,0.67710952393161,0.44133558457668587
otsu_K5,"53,80,104,128,160",4.990188493887654,159.7471,30.43441106302342,0.8122707216177213,0.44570407804229223
mfwoa_K5,"49,80,129,162,200",5.15493213618068,2.9332,27.846058891420288,0.7700702682954945,0.43666779048492127
woa_K5,"51,130,167,198,225",5.182603362761844,3.137,23.502278800211542,0.6883561224121255,0.44133558457668587
